suggestion_id,color_usage,design_usage,ux_suggestion,color_category,design_category,source
1,Bright blue,Bright blue backgrounds,"Bright blue backgrounds invokes negative feelings like Sadness, Self-righteousness and Self-centredness.",Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
2,Bright blue,Bright blue backgrounds,"Bright blue backgrounds invokes negative feelings like Depression, Melancholy, Negativity.",Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
3,Bright blue,Bright blue backgrounds,"Bright blue backgrounds can serve as the tool to prominent accents in the design, they become the reason that accents disappear.",Complementary colors,General,https://fullstop360.weebly.com/blog/pros-and-cons-of-using-bright-colors-in-business-logo
4,Bright blue,Bright blue backgrounds,"When you use bright blue backgrounds with other bright colors in one design, it increases the risk of highlighted elements as they become a part of a colorful mess.",Complementary colors,General,https://fullstop360.weebly.com/blog/pros-and-cons-of-using-bright-colors-in-business-logo
5,Bright blue,Bright blue backgrounds,"it is very important to focus on the audience before choosing the color palette. If you are going to grab the attention of adults, primary colors like bright blue backgrounds won't work.",Complementary colors,Products,https://fullstop360.weebly.com/blog/pros-and-cons-of-using-bright-colors-in-business-logo
6,Blue shades,Blue ui components,"Blue ui components with Blue shades are associated with Water, Sea, Business, Security, Hospitals, Open Spaces.",Analog colors,Business,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
7,Blue shades,Blue ui components,Blue is often seen in businesses that have a connection to the sea and water.,Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
8,Blue shades,Blue ui components,"Works well width Black, Grey, Red, Whites (wordings) and also other shades of blue ui components.",Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
9,Blue shades,Blue ui components,Blue ui components also the colour that highlights reliability and tranquillity.,Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
10,Blue shades,Blue wordings,"Blue wordings invokes feelings like Trust, Freedom, Safety and strength",Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
11,Blue shades,Blue ui components,"Blue color shades indicates Significance, Importance, Reliability and Confidence in UI and logo designs",Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
12,Blue shades,Blue ui components,"Blue ui components works well for security companies, surf businesses, electricity and water companies",Analog colors,Corporate,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
13,Blue shades,Blue ui components,Seeing the colour blue makes people feel peaceful and secure which is why a lot of companies use this colour to improve trust with their customers.,Analog colors,Corporate,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
14,Blue shades,"Blue ui components, Blue wordings",Blue shades are used a lot in the corporate world websites.,Analog colors,Corporate,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
15,Bright green,Bright green backgrounds,Bright green backgrounds can also communicate rot and decay.,Complementary colors,General,https://karenhaller.com/journal/colour-psychology-the-meaning-of-green/
16,Bright green,Bright green backgrounds,"Bright green backgrounds invokes invokes negative feelings like Jealousy, Greed",Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
17,Bright green,Bright green backgrounds,"Bright green backgrounds or being surrounded by the wrong shade of green can bring up the feelings of boredom, lack of life and stagnation.",Complementary colors,General,https://karenhaller.com/journal/colour-psychology-the-meaning-of-green/
18,Bright green,Bright green backgrounds,"Bright green backgrounds invoke negative feelings like Materialism, Self-indulgence",Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
19,Green shades,"Green ui components, Green wordings","Many products or services that are offered through green marketing are often more expensive than non-green products, and some may even believe they are less effective.",Analog colors,Products,https://brandongaille.com/14-pros-and-cons-of-green-marketing/
20,Green shades,Green ui components,"Combines well with Black, White, Brown, Yellow shades",Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
21,Green shades,Green ui components,"Green shades invokes positive feelings like Serenity, Peace, Joy and Hope.",Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
22,Green shades,Green ui components,Green is the colour of nature and is naturally pleasing to the eye.,Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
23,Green shades,Green ui components,"Green works really well for the likes of yoga studios, health and wellness centers, and organic food shops",Analog colors,Business,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
24,Green shades,Green ui components,The colour can be cool and calming and if you use a brighter green like lime green then the colour can be used to grab the attention of your audience. ,Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
25,Green shades,Green ui components,Green can make your audience feel like your company is environmentally friendly because of the association to nature,Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
26,Bright yellow,Bright yellow backgrounds,"Bright yellow backgrounds invokes negative feelings like Dishonesty, Youthfulness, Immaturity and Anger",Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
27,Bright yellow,Bright yellow backgrounds,Use bright yellow backgrounds cautiously though as too much yellow can lead to a loss of focus!,Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
28,Bright yellow,Bright yellow backgrounds,"Bright yellow backgrounds invoke negative feelings like Frustration, Cowardice, Betrayal and Egoism",Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
29,Bright yellow,Bright yellow backgrounds,Bit tiring for the eyes and straining to look at if there’s too much of bright yellow shades.,Complementary colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
30,Bright yellow,Bright yellow backgrounds,Sometimes yellow can come off as very aggressive and even confrontational.,Complementary colors,General,https://www.verywellmind.com/the-color-psychology-of-yellow-2795823
31,Yellow shades,Yellow ui components,It is often used in situations and products intended to create a sense of excitement or energy.,Complementary colors,Products,https://www.verywellmind.com/the-color-psychology-of-yellow-2795823
32,Yellow shades,Yellow ui components,"Yellow is a colour that causes strong reactions in most people, but a good colour to use if you want to attract attention.",Analog colors,General,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
33,Yellow shades,Yellow ui components,"Yellow shades invokes positive feelings like Happiness, Enlightenment, Creativity",Analog colors,Business,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
